name,patterns,N,k,max_abs_nonzero,empirical_k_nc,argmax_m,argmax_symbolic
TM,1,4096,2,0.34375,No,64,(1/4096) * (1344 + 2752*zeta^1)
TM,1,4096,3,0.3868568250981232,No,64,(1/4096) * (1152 + 576*zeta^1 + 2368*zeta^2)
TM,1,4096,4,0.4489639222873314,No,16,(1/4096) * (1088 + 544*zeta^1 + 272*zeta^2 + 2192*zeta^3)
TM,1,4096,5,0.5244537296447243,No,64,(1/4096) * (1088 + 512*zeta^1 + 256*zeta^2 + 128*zeta^3 + 2112*zeta^4)
TM,1,4096,6,0.5819132640480021,No,64,(1/4096) * (1024 + 512*zeta^1 + 256*zeta^2 + 128*zeta^3 + 64*zeta^4 + 2112*zeta^5)
TM,1,4096,7,0.6337805603812409,No,16,(1/4096) * (1040 + 512*zeta^1 + 256*zeta^2 + 128*zeta^3 + 64*zeta^4 + 32*zeta^5 + 2064*zeta^6)
TM,1,4096,8,0.6795356458404788,No,8,(1/4096) * (1032 + 512*zeta^1 + 256*zeta^2 + 128*zeta^3 + 64*zeta^4 + 32*zeta^5 + 16*zeta^6 + 2056*zeta^7)
RS,11,4096,2,6.123233995736766e-17,Yes,1,(1/4096) * (2048 + 2048*zeta^1)
RS,11,4096,3,0.34061589710076284,No,1,(1/4096) * (1901 + 439*zeta^1 + 1756*zeta^2)
RS,11,4096,4,0.5000977420639205,No,1,(1/4096) * (1843 + 409*zeta^1 + 205*zeta^2 + 1639*zeta^3)
RS,11,4096,5,0.5950740989156159,No,1,(1/4096) * (1817 + 397*zeta^1 + 198*zeta^2 + 99*zeta^3 + 1585*zeta^4)
RS,11,4096,6,0.6616224000361872,No,1,(1/4096) * (1804 + 390*zeta^1 + 195*zeta^2 + 97*zeta^3 + 49*zeta^4 + 1561*zeta^5)
RS,11,4096,7,0.7117842521340249,No,1,(1/4096) * (1798 + 387*zeta^1 + 193*zeta^2 + 97*zeta^3 + 49*zeta^4 + 24*zeta^5 + 1548*zeta^6)
RS,11,4096,8,0.7520007387224592,No,1,(1/4096) * (1795 + 385*zeta^1 + 193*zeta^2 + 97*zeta^3 + 48*zeta^4 + 24*zeta^5 + 12*zeta^6 + 1542*zeta^7)
RS*TM,11 1,4096,2,0.00927734375,No,53,(1/4096) * (2029 + 2067*zeta^1)
RS*TM,11 1,4096,3,0.25015694936813004,No,1,(1/4096) * (731 + 1463*zeta^1 + 1902*zeta^2)
RS*TM,11 1,4096,4,0.37264161790955985,No,1,(1/4096) * (683 + 341*zeta^1 + 1366*zeta^2 + 1706*zeta^3)
RS*TM,11 1,4096,5,0.44226172770587935,No,1,(1/4096) * (595 + 330*zeta^1 + 298*zeta^2 + 1189*zeta^3 + 1684*zeta^4)
RS*TM,11 1,4096,6,0.4910702209953224,No,1,(1/4096) * (585 + 292*zeta^1 + 293*zeta^2 + 146*zeta^3 + 1171*zeta^4 + 1609*zeta^5)
RS*TM,11 1,4096,7,0.529467574453671,No,1,(1/4096) * (548 + 291*zeta^1 + 274*zeta^2 + 145*zeta^3 + 137*zeta^4 + 1096*zeta^5 + 1605*zeta^6)
RS*TM,11 1,4096,8,0.5626526529884524,No,1,(1/4096) * (546 + 273*zeta^1 + 273*zeta^2 + 136*zeta^3 + 137*zeta^4 + 68*zeta^5 + 1093*zeta^6 + 1570*zeta^7)
"A_{1,101,111}",1 101 111,4096,2,0.00537109375,No,53,(1/4096) * (2059 + 2037*zeta^1)
"A_{1,101,111}",1 101 111,4096,3,0.24694724655516362,No,2,(1/4096) * (694 + 1646*zeta^1 + 1756*zeta^2)
"A_{1,101,111}",1 101 111,4096,4,0.35810861120621484,No,2,(1/4096) * (598 + 427*zeta^1 + 1450*zeta^2 + 1621*zeta^3)
"A_{1,101,111}",1 101 111,4096,5,0.4243727983506167,No,2,(1/4096) * (545 + 388*zeta^1 + 273*zeta^2 + 1346*zeta^3 + 1544*zeta^4)
"A_{1,101,111}",1 101 111,4096,6,0.47200332816615476,No,2,(1/4096) * (512 + 366*zeta^1 + 256*zeta^2 + 182*zeta^3 + 1280*zeta^4 + 1500*zeta^5)
"A_{1,101,111}",1 101 111,4096,7,0.510409563824711,No,2,(1/4096) * (491 + 350*zeta^1 + 246*zeta^2 + 176*zeta^3 + 123*zeta^4 + 1240*zeta^5 + 1470*zeta^6)
"A_{1,101,111}",1 101 111,4096,8,0.5435819493778874,No,2,(1/4096) * (478 + 342*zeta^1 + 239*zeta^2 + 171*zeta^3 + 120*zeta^4 + 85*zeta^5 + 1211*zeta^6 + 1450*zeta^7)
"{101,111}",101 111,4096,2,6.123233995736766e-17,Yes,1,(1/4096) * (2048 + 2048*zeta^1)
"{101,111}",101 111,4096,3,0.29611419768173053,No,1,(1/4096) * (1939 + 585*zeta^1 + 1572*zeta^2)
"{101,111}",101 111,4096,4,0.480529285122003,No,1,(1/4096) * (1894 + 564*zeta^1 + 154*zeta^2 + 1484*zeta^3)
"{101,111}",101 111,4096,5,0.5980123977027,No,1,(1/4096) * (1875 + 553*zeta^1 + 148*zeta^2 + 74*zeta^3 + 1446*zeta^4)
"{101,111}",101 111,4096,6,0.67573622184196,No,1,(1/4096) * (1865 + 548*zeta^1 + 146*zeta^2 + 74*zeta^3 + 37*zeta^4 + 1426*zeta^5)
"{101,111}",101 111,4096,7,0.7319981421002,No,1,(1/4096) * (1860 + 546*zeta^1 + 146*zeta^2 + 73*zeta^3 + 36*zeta^4 + 18*zeta^5 + 1417*zeta^6)
"{101,111}",101 111,4096,8,0.7747247857358281,No,1,(1/4096) * (1858 + 546*zeta^1 + 145*zeta^2 + 72*zeta^3 + 36*zeta^4 + 18*zeta^5 + 9*zeta^6 + 1412*zeta^7)
{01},01,4096,2,0.00927734375,No,53,(1/4096) * (2029 + 2067*zeta^1)
{01},01,4096,3,0.25036630021367556,No,1,(1/4096) * (2049 + 1023*zeta^1 + 1024*zeta^2)
{01},01,4096,4,0.5002442002005516,No,1,(1/4096) * (2049 + 1023*zeta^1 + 1024*zeta^3)
{01},01,4096,5,0.654677235385514,No,1,(1/4096) * (2049 + 1023*zeta^1 + 1024*zeta^4)
{01},01,4096,6,0.7501221001099718,No,1,(1/4096) * (2049 + 1023*zeta^1 + 1024*zeta^5)
{01},01,4096,7,0.8118368448036751,No,1,(1/4096) * (2049 + 1023*zeta^1 + 1024*zeta^6)
{01},01,4096,8,0.8536249151831067,No,1,(1/4096) * (2049 + 1023*zeta^1 + 1024*zeta^7)
